file,url,title,num_fields,datasource_id,datasource_class
alpo-busy-darwin-5480583.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-busy-darwin-5480583.yaml,Support - Case Master,734,5480583,hard
alpo-competent-thompson-5573741.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-competent-thompson-5573741.yaml,Sales Opportunity Rebuild,379,5573741,hard
alpo-busy-dirac-5576198.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-busy-dirac-5576198.yaml,Team Performance Metrics and Tracking,171,5576198,medium
alpo-exciting-hawking-5570874.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-exciting-hawking-5570874.yaml,Tableau Renewal Opportunities,119,5570874,medium
alpo-elastic-dewdney-5563485.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-elastic-dewdney-5563485.yaml,ALPO_OnlineSiteSnapshot (OPAL),137,5563485,medium
alpo-agitated-snyder-5576081.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-agitated-snyder-5576081.yaml,Sales Activities Summary,219,5576081,medium
alpo-hardcore-shockley-2292340.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-hardcore-shockley-2292340.yaml,Registrations (Tab62 Data Only),266,2292340,medium
alpo-inspiring-rubin-5576171.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-inspiring-rubin-5576171.yaml,Infrastructure Vulns,144,5576171,medium
alpo-amazing-shannon-5576178.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-amazing-shannon-5576178.yaml,JPN Tableau Sales Opportunity,471,5576178,hard
alpo-vigilant-goodall-3410424.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-vigilant-goodall-3410424.yaml,Direct Sales Territory (OPAL),143,3410424,hard
alpo-sad-kapitsa-2855414.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-sad-kapitsa-2855414.yaml,Account and Territory Planning,130,2855414,hard
alpo-competent-kilby-5575542.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-competent-kilby-5575542.yaml,Premium Customer View,345,5575542,
alpo-competent-kilby-4340692.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-competent-kilby-4340692.yaml,Account: Customer Success Summary (OPAL),68,4340692,
alpo-romantic-ishizaka-5217239.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-romantic-ishizaka-5217239.yaml,Customer-Centric Measures,99,5217239,hard
alpo-strange-goodall-1894073.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-strange-goodall-1894073.yaml,Tableau Conference Registrations,105,1894073,easy
alpo-laughing-ptolemy-1268779.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-laughing-ptolemy-1268779.yaml,Ask Data Demo - Superstore,22,1268779,easy
alpo-pedantic-beaver-3862887.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-pedantic-beaver-3862887.yaml,(INCLUSION RATE) Extract of Global Services Opportunity Master - OPAL ,191,3862887,medium
alpo-crazy-hugle-5056596.yaml,https://gitlab.tableausoftware.com/semantic-search/nlq2viz-testing/-/tree/main/test-data/datasources/core/alpo-crazy-hugle-5056596.yaml,Digital Performance,132,5056596,medium
